Course Code,Title,Semester,Instructor,Description,TextBook1,TextBook2
Loading...,Artificial Intelligence (CE Lab),Fall 2024,Sahar Waqar,...,N/A,N/A
CS-371L,"Artificial Intelligence Lab (A, B,D)",Fall 2024,Numan Shafi,...,N/A,N/A
CS-690,Software Engineering for AI,Fall 2024,Samyan Qayyum Wahla,The course takes a software engineering perspective on building software systems with a...,N/A,N/A
CS-371L,Artificial Intelligence (Lab),Fall 2024,Samyan Qayyum Wahla,"This course introduces representations, techniques, and architectures used to build applied...",N/A,N/A
CS-371,Artificial Intelligence,Fall 2024,Samyan Qayyum Wahla,"This course introduces representations, techniques, and architectures used to build applied...",Artificial Intelligence - A Modern Approach 4th Edition,N/A
CMPE-271,Signal & Systems,Fall 2024,Sahar Waqar,The objective of this course is to develop the understanding of the basic ideas of the Signals &...,N/A,N/A
CMPE-111,Applications of ICT,Fall 2024,Sahar Waqar,This course is designed to provide an introduction to the key concepts and technologies used in...,N/A,N/A
CSC-200,Data Structures and Algorithms,Fall 2024,Nazeef Ul Haq,The course introduces the theory of complexity and abstract data structures as basic building...,"• 1. Introduction to Algorithms 4th Edition by Charles E. Leiserson, Clifford Stein, Ronald Rivest, and Thomas H. Cormen",2. Data Structures and Algorithms in C++ 4th Edition by Adam Drozdek 5th edition
CSC-200L,Data Structures and Algorithms(Lab),Fall 2024,Nazeef Ul Haq,The course introduces the theory of complexity and abstract data structures as basic building...,N/A,N/A
CS-FYP,Final Year Project (2021),Spring 2024,Numan Shafi,...,N/A,N/A
